seed,config,mean_inner_h10
0,C3F_K=10_α=0.1,0.6379264592202878
0,C3F_K=10_α=0.2,0.6326422299908853
0,C3F_K=10_α=0.3,0.6210930739676715
0,C3F_K=10_α=0.5,0.6099477345886262
0,C3F_K=10_α=0.7,0.5947642287678977
0,C3F_K=3_α=0.1,0.6240697795161123
0,C3F_K=3_α=0.2,0.6135936220045458
0,C3F_K=3_α=0.3,0.6063133847911114
0,C3F_K=3_α=0.5,0.5927797584022706
0,C3F_K=3_α=0.7,0.5714351643533742
0,C3F_K=5_α=0.1,0.6305654586780197
0,C3F_K=5_α=0.2,0.6174587241701568
0,C3F_K=5_α=0.3,0.6145743195689546
0,C3F_K=5_α=0.5,0.5973255800537653
0,C3F_K=5_α=0.7,0.583941942704187
0,C3F_K=7_α=0.1,0.6300462658498033
0,C3F_K=7_α=0.2,0.617447186551752
0,C3F_K=7_α=0.3,0.6135243962941169
0,C3F_K=7_α=0.5,0.5966217853310719
0,C3F_K=7_α=0.7,0.5894799995384953
0,CA_λ=0.0,0.3215303497052138
0,CA_λ=0.25,0.3820797710936508
0,CA_λ=0.5,0.47549986731738836
0,CA_λ=0.75,0.5601398359350663
0,CA_λ=1.0,0.5270268711132648
0,HGB_d=3_i=100_lr=0.05,0.7128632907595214
0,HGB_d=5_i=100_lr=0.05,0.7240201677569716
0,LBC-LR,0.7343463362292756
1,C3F_K=10_α=0.1,0.6217269275218755
1,C3F_K=10_α=0.2,0.5981949259809587
1,C3F_K=10_α=0.3,0.5889384183589236
1,C3F_K=10_α=0.5,0.5567112431896979
1,C3F_K=10_α=0.7,0.5440537119586154
1,C3F_K=3_α=0.1,0.5946177975895658
1,C3F_K=3_α=0.2,0.5748940619668703
1,C3F_K=3_α=0.3,0.5628969236695834
1,C3F_K=3_α=0.5,0.5367783831379671
1,C3F_K=3_α=0.7,0.5147762918936767
1,C3F_K=5_α=0.1,0.607957734852237
1,C3F_K=5_α=0.2,0.5839744648065599
1,C3F_K=5_α=0.3,0.5740685707996258
1,C3F_K=5_α=0.5,0.5479060040724231
1,C3F_K=5_α=0.7,0.5215673325628749
1,C3F_K=7_α=0.1,0.6172252490231688
1,C3F_K=7_α=0.2,0.6008805239117275
1,C3F_K=7_α=0.3,0.5844147267624237
1,C3F_K=7_α=0.5,0.5450553079082053
1,C3F_K=7_α=0.7,0.5312641021407738
1,CA_λ=0.0,0.3055968301139178
1,CA_λ=0.25,0.3606736007924715
1,CA_λ=0.5,0.44591932199658796
1,CA_λ=0.75,0.5360519509107919
1,CA_λ=1.0,0.5092950305431732
1,HGB_d=3_i=100_lr=0.05,0.6921798470089703
1,HGB_d=5_i=100_lr=0.05,0.7047052996532938
1,LBC-LR,0.6929172857850421
2,C3F_K=10_α=0.1,0.6363673839558084
2,C3F_K=10_α=0.2,0.6319667738478028
2,C3F_K=10_α=0.3,0.6231449418748454
2,C3F_K=10_α=0.5,0.6091392530299282
2,C3F_K=10_α=0.7,0.6055837249567153
2,C3F_K=3_α=0.1,0.6237426828262841
2,C3F_K=3_α=0.2,0.6251648940555693
2,C3F_K=3_α=0.3,0.6109221700057713
2,C3F_K=3_α=0.5,0.5990188803693627
2,C3F_K=3_α=0.7,0.5910421304311979
2,C3F_K=5_α=0.1,0.6412111468381565
2,C3F_K=5_α=0.2,0.6291120455107594
2,C3F_K=5_α=0.3,0.6264428229862313
2,C3F_K=5_α=0.5,0.6092010883007668
2,C3F_K=5_α=0.7,0.6025641025641025
2,C3F_K=7_α=0.1,0.639881688515129
2,C3F_K=7_α=0.2,0.6304311979553137
2,C3F_K=7_α=0.3,0.6256080468299118
2,C3F_K=7_α=0.5,0.6108706406134059
2,C3F_K=7_α=0.7,0.5924334240250639
2,CA_λ=0.0,0.29837579355264243
2,CA_λ=0.25,0.3621176519086487
2,CA_λ=0.5,0.4397106109324759
2,CA_λ=0.75,0.5351636573501525
2,CA_λ=1.0,0.5062659741116333
2,HGB_d=3_i=100_lr=0.05,0.7295943606232995
2,HGB_d=5_i=100_lr=0.05,0.7371073460301756
2,LBC-LR,0.7148878720422128
3,C3F_K=10_α=0.1,0.6335800009487216
3,C3F_K=10_α=0.2,0.6232033584744556
3,C3F_K=10_α=0.3,0.6180802618471609
3,C3F_K=10_α=0.5,0.6001375646316588
3,C3F_K=10_α=0.7,0.5879227740619515
3,C3F_K=3_α=0.1,0.606173805796689
