drop,mean_delta_macro,std_delta_macro
freq,-0.1926429699343426,0.04379019537133744
bit_corr,-0.1551463779418108,0.059012602602867024
morgan,-0.10874967744064232,0.05529512615242615
dLogP,-0.0914113497033355,0.041404970721990134
dTPSA,-0.0846257955826439,0.04095609466352226
dRings,-0.07875374258449724,0.04498460129569891
dMW,-0.0774260497367942,0.04513633477576951
dHeavy,-0.06969168731998068,0.04494040880700282
