intercept,Morgan,bit_corr,dHeavy,dRings,dMW,dLogP,dTPSA,freq
-5.4365473633581525,-2.4509324829245354,3.405486217392207,-0.3682822008170958,0.13258236923716335,0.01010603412790255,-0.39845280475522826,-0.3826639234703251,0.4099761981515844
-5.402271637043995,-2.4574854155409347,3.423696468134707,-0.34960031177840634,0.18392612211088852,-0.021764581447698095,-0.42409343930766286,-0.4091648443117292,0.3915430895051177
-5.426106891709623,-2.5595259692122183,3.5235111566416903,-0.3319990967475971,0.16089298899995283,-0.058582398667504414,-0.4520137661679443,-0.3993117845137081,0.3980424141552524
-5.543998530048361,-2.1589110463826864,3.1314509240309314,-0.4532996803610777,0.17554747911629312,0.037919078969633355,-0.5119108212066195,-0.43790255681747914,0.34971883056609193
-5.428037623587136,-2.441910553483619,3.3620306748820874,-0.3899857354152932,0.11939191264587408,0.014779930964664803,-0.4490655003077233,-0.3972150431361753,0.41617065113460966
-5.402789628972226,-2.4617838084520116,3.4620579103317666,-0.3104133957203922,0.14478373012364446,-0.0012431995241924225,-0.403966605050947,-0.36778362381694096,0.3915035109642586
-5.428632521263034,-2.297346209376629,3.187817431897627,-0.37661695557268504,0.11514861664508533,-0.030105462122831758,-0.464757169281454,-0.447113281932328,0.3982234760170952
-5.348878790135902,-2.299433054075519,3.1726381786285494,-0.32287953338005554,0.15390329986057188,-0.0729627031967223,-0.45150523060545006,-0.38436700627058634,0.401193755086358
-5.378922588022645,-2.330226973886261,3.240442414045569,-0.39358307390553865,0.22136643249243457,-0.04602321327081135,-0.44940412587419304,-0.4142174399056716,0.39034781978121114
-5.457789534271982,-2.5857524551123627,3.5999087948453736,-0.32230845594972996,0.21100703718090336,-0.09096626342865133,-0.4108621054666674,-0.4376856215172983,0.3870487633960217
