comparison,metric,delta,CI_lo,CI_hi
Post-audit 77-feature scorer vs Initial 82-feature scorer,Top10,0.03925975874728403,0.0354386753577583,0.04315576534052596
Post-audit 77-feature scorer vs Score Blend,Top10,0.06855473140031468,0.06383269648610175,0.07327676631452758
