config,Top10,CI_lo,CI_hi,delta,delta_CI_lo,delta_CI_hi
default,0.924328,0.9198302989435828,0.9288978796733348,0.068555,0.06368472315876227,0.07349966284558328
best_found,0.899678,0.894433205963887,0.9048494043605305,0.043905,0.04045853000674309,0.04742638795234884
deep_conservative,0.887091,0.8816194650483254,0.8925601258709822,0.031318,0.028395894208436353,0.03431482730201543
