reference,n_queries,rescue,lost,net,net_per_query,net_per_query_CI_lo,net_per_query_CI_hi,rescue_lost_ratio,rescue_lost_ratio_CI_lo,rescue_lost_ratio_CI_hi
Score Blend,13347,1016,101,915,0.06855473140031468,0.06383269648610175,0.07327676631452758,10.05940594059406,8.254048422647747,12.518535116074045
Initial 82-feature scorer,13347,626,102,524,0.03925975874728403,0.0354386753577583,0.04315576534052596,6.137254901960785,5.0333264462809915,7.645588916332201
