method,n_queries,Top1,Top1_CI_lo,Top1_CI_hi,Top5,Top5_CI_lo,Top5_CI_hi,Top10,Top10_CI_lo,Top10_CI_hi,Top20,Top20_CI_lo,Top20_CI_hi,Top50,Top50_CI_lo,Top50_CI_hi,MRR,MRR_CI_lo,MRR_CI_hi
Attachment-Frequency,13347,0.1489473289877875,0.14257885667191128,0.1549411852850828,0.41679778227317,0.4084063834569566,0.42481456507080245,0.6019330186558777,0.5936146699632876,0.6102494942683749,0.7317749306960366,0.7243575335281337,0.7393421742713718,0.9354911216003596,0.9312204989885368,0.9396118978047502,0.2857836986359534,0.27985712969149656,0.29140278185698243
DE,13347,0.26163182737693863,0.2542144302090357,0.2692739941559901,0.6331759946055293,0.6251592118078969,0.6413426238105941,0.8054993631527684,0.7986045553307859,0.8121675282835094,0.9204315576534052,0.9158612422267176,0.9249269498763767,0.9997752303888514,0.9994755375739867,1.0,0.4173650801390633,0.4111073080890748,0.4237442876824867
HGB,13347,0.2758672360830149,0.26822506930396345,0.28343447965835017,0.6980594890237507,0.6901157563497415,0.7058515022102345,0.8623660747733574,0.8564471416797782,0.868135161459504,0.9536225368996778,0.9500262231213007,0.9571439274743389,0.9967783022402038,0.9957293773881771,0.997677380684798,0.4662466893755028,0.46017760022772536,0.472093639650256
"Borda(DE,HGB)",13347,0.3095826777553008,0.30186558777253314,0.31737469094178467,0.7206862965460403,0.7130441297669888,0.7281786169176594,0.8455832771409305,0.8391398816213381,0.8515771334382258,0.9814190454783847,0.9790215029594665,0.9836667415898703,0.9988761519442572,0.9982767663145277,0.9994006143702705,0.479925032241455,0.4736512789506802,0.48616039415731005
Score Blend,13347,0.30209035738368173,0.29429834419719786,0.3098074473664494,0.7227841462500937,0.7152169026747583,0.7302764666217127,0.8557728328463325,0.8497040533453211,0.8616168427361954,0.9783471941260208,0.9757998051996704,0.9808196598486552,0.9988761519442572,0.9982767663145277,0.9994006143702705,0.48419865115522404,0.4778543738578428,0.4903580898952693
Initial 82-feature scorer,13347,0.25106765565295575,0.24380010489248521,0.2584120026972353,0.7246572263429985,0.717013186483854,0.7325990859369147,0.8850678054993631,0.8795984116280812,0.8903124297594965,0.9719037986064284,0.9688319472540646,0.9746778302240204,0.9987263055368247,0.9980519967033791,0.9992507679628381,0.4528995680038132,0.44722672111873046,0.45871847062893134
Post-audit 77-feature scorer,13347,0.26800029969281486,0.26058102944481903,0.2757173896755825,0.7651157563497415,0.7579231287929872,0.7723833071102121,0.9243275642466472,0.9199070952273919,0.9286731100621862,0.9808196598486552,0.978422117329737,0.9830673559601408,0.9987263055368247,0.9980519967033791,0.9992507679628381,0.47694199620268163,0.4712087321935837,0.48285681285864374
